Rainking;Country;Artist;Song title;Lyrics;Number of times noun LOVE appears;LOVE in scale 1-5;Number of times noun TIME appears;TIME in scale 1-5;Number of times noun HEART appears;HEART in scale 1-5;Number of times verb KNOW appears;KNOW in scale 1-5;Number of times verb LET appears;LET in scale 1-5;Number of times verb START appears;START in scale 1-5;Language;Original language scale 1-5;BPM;BPM scaled;Key (camelot);Key;Distance from C, semitones;Distance from C scaled;Major/Minor;Major/Minor key, scaled;Female/Male lead voice;Lead female/male voice 1-5;Number of lead singers ;Number of modulations;Repetition?;Range of vocabulary;Range of vocacabulary, 1-5
1;Sweden;Måns Zelmerlöw ;Heroes;"Don't tell the gods I left a mess
I can't undo what has been done
Let's run for cover
What if I'm the only hero left
You better fire off your gun
Once and forever
He said go dry your eyes
And live your life like there is no tomorrow, son 
And tell the others 
To go sing it like a hummingbird 
The greatest anthem ever heard:
We are the heroes of our time
But we're dancing with the demons in our minds...
We are the heroes of our time
Hero-uh-o-o-oes
O-uh-o-o-oh
We're dancing with the demons in our minds 
Hero-uh-o-o-oes O-uh-o-o-oh
The crickets sing a song for you
Don't say a word, don't make a sound
It's life's creation
I make worms turn into butterflies
Wake up and turn this world around
In appreciation
He said I never left your side
When you were lost I followed right behind 
Was your foundation 
Now go sing it like a hummingbird 
The greatest anthem ever heard:
We are the heroes of our time
Hero-uh-o-o-oes
O-uh-o-o-oh
We're dancing with the demons in our minds 
Hero-uh-o-o-oes O-uh-o-o-oh
(We keep dancing with the demons
You could be a hero)
Go sing it like a hummingbird
The greatest anthem ever heard
Now sing together....
We are the heroes of our time
Hero-uh-o-o-oes
O-uh-o-o-oh
But we're dancing with the demons in our minds 
Hero-uh-o-o-oes O-uh-o-o-oh
We are the heroes of our time
Hero-uh-o-o-oes
O-uh-o-o-oh
But we're dancing with the demons in our minds 
Hero-uh-o-o-oes O-uh-o-o-oh
We are the heroes";0;1;5;3;0;1;0;1;1;2;0;1;English;1;124;5;8A;A;3;3;Minor;1;m;1;1;;;106;3
2;Russia;Polina Gagarina;"A Million Voices
";"We are the worlds people
Different yet we're the same
We believe
We believe in a dream
Praying for peace and healing
I hope we can start again
We believe
We believe in a dream
So if you ever feel love is fading
Together like the stars in the sky
We can sing
We can shine 
Chorus:
When you hear our voices call
You won't be lonely anymore
A million voices
Your heart is like a beating drum
Burning brighter than the sun
A million voices
Now as the world is listening
From cities and satellites
We believe
We believe
In a dream
If you ever feel love is fading
Together like the stars in the sky
We can sing
We can shine 
Chorus:
When you hear our voices call
You won't be lonely anymore
A million voices
Your heart is like a beating drum
Burning brighter than the sun
Bridge:
When I look around at these faces
I can see the stars in the sky
We will sing
We will shine
Singing out
Singing out
ooh
Singing out
Singing out
ooh
Singing out
A million voices";2;2;0;1;2;2;0;1;0;1;1;1;English;1;74;1;9B;G;5;4;Major;5;f;5;1;;;72;2
3;Italy;Il Volo ;Grande Amore;"I close my eyes and think of her
The sweet scent of her skin
It’s a voice within that is bringing me where the sun arises
Lonely are the words
But if they go written everything can change
With no fear anymore I want to scream this great love
Love, just love, it’s what I feel…
Tell me why when I think, I only think of you
Tell me why when I see, I only see you
Tell me why when I believe, I believe in you… great love
Tell me that never
That you’ll never leave me
Tell me who you are
Breath of the love days of mine
Tell me that you know
