Rainking;Country;Artist;Song title;points;LOVE in scale 1-5;TIME in scale 1-5;HEART in scale 1-5;KNOW in scale 1-5;LET in scale 1-5;START in scale 1-5;Original language scale 1-5;BPM scaled;Distance from C scaled;Major/Minor key, scaled;Lead female/male voice 1-5;Lead singers scaled;Range of vocacabulary, 1-5
1;Sweden;Måns Zelmerlöw ;Heroes;365;1;3;1;1;2;1;1;5;3;1;1;1;3
2;Russia;Polina Gagarina;"A Million Voices";303;2;1;2;1;1;1;1;1;4;5;5;4;2
3;Italy;Il Volo ;Grande Amore;292;4;1;1;1;1;1;5;1;4;1;1;1;2
4;Belgium;Loïc Nottet ;Rhythm Inside;217;2;1;2;1;1;1;1;2;3;1;1;1;2
5;Australia;Guy Sebastian ;Tonight Again;196;1;1;1;1;2;1;1;3;1;1;1;1;2
6;Latvia;Aminata ;Love Injected;186;2;1;2;1;2;1;1;3;4;5;5;4;2
7;Estonia ;Elina Born & Stig Rästa ;Goodbye To Yesterday;106;1;1;1;1;2;1;1;5;4;1;3;3;3
8;Norway;Mørland & Debrah Scarlett;A Monster Like Me;102;1;1;1;1;4;1;1;1;4;5;3;3;2
9;Israel;Nadav Guedj;Golden Boy;97;3;1;3;2;5;1;1;4;4;1;1;1;3
10;Serbia;Bojana Stamenov ;Beauty Never Lies;53;1;1;2;1;1;1;1;5;2;1;5;4;2
11;Georgia;Nina Sublatti ;Warrior;51;1;1;1;1;1;1;1;1;4;1;5;4;1
12;Azerbaijan;Elnur Huseynov ;Hour Of The Wolf;49;1;1;3;2;2;1;1;3;4;1;1;1;3
13;Montenegro;Knez ;Adio;44;1;1;2;1;3;1;5;3;4;1;1;1;1
14;Slovenia ;Maraaya ;Here For You;39;1;1;2;2;3;1;1;2;4;1;3;3;2
15;Romania;Voltaj;De La Capat / All Over Again;35;1;1;2;1;1;5;3;3;4;5;1;1;3
16;Armenia ;Genealogy ;Face The Shadow;34;1;2;3;1;1;1;1;4;3;1;3;3;2
17;Albania;Elhaida Dani;I'm Alive;34;1;1;2;2;2;1;1;2;3;1;5;4;3
18;Lithuania;Monika Linkyt_ and Vaidas Baumila ;This Time;30;5;3;2;2;1;1;1;5;3;5;3;3;2
19;Greece;Maria Elena Kyriakou ;One Last Breath;23;1;1;2;1;2;1;1;3;4;1;5;4;2
20;Hungary;Boogie ;Wars For Nothing;19;1;1;2;2;2;1;1;2;2;5;5;4;2
21;Spain ;Edurne ;Amanecer;15;2;1;2;2;1;1;5;5;3;1;5;4;1
22;Cyprus;John Karayiannis ;One Thing I Should Have Done;11;1;1;3;1;1;1;1;2;3;5;1;1;3
23;Poland;Monika Kuszy_ska ;In The Name Of Love;10;3;2;5;1;3;1;1;2;4;5;5;4;1
24;United Kingdom ;Electro Velvet;Still In Love With You;5;3;2;1;1;2;1;1;4;3;1;3;3;5
25;France ;Lisa Angell;N'oubliez Pas;4;1;1;2;1;1;1;5;5;3;1;5;4;3
26;Austria;The Makemakes;I Am Yours;0;1;5;1;2;1;1;1;2;2;5;1;1;1
27;Germany;Ann Sophie;Black Smoke;0;1;1;4;5;5;1;1;2;2;1;5;4;3
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
